PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=114 ttl=64 time=212 ms
64 bytes from 10.0.0.8: icmp_seq=115 ttl=64 time=244 ms
64 bytes from 10.0.0.8: icmp_seq=116 ttl=64 time=258 ms
64 bytes from 10.0.0.8: icmp_seq=117 ttl=64 time=251 ms
64 bytes from 10.0.0.8: icmp_seq=118 ttl=64 time=228 ms
64 bytes from 10.0.0.8: icmp_seq=119 ttl=64 time=201 ms
64 bytes from 10.0.0.8: icmp_seq=120 ttl=64 time=228 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=269 ms
64 bytes from 10.0.0.8: icmp_seq=122 ttl=64 time=246 ms
64 bytes from 10.0.0.8: icmp_seq=123 ttl=64 time=241 ms
64 bytes from 10.0.0.8: icmp_seq=124 ttl=64 time=247 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=247 ms
64 bytes from 10.0.0.8: icmp_seq=126 ttl=64 time=245 ms
64 bytes from 10.0.0.8: icmp_seq=127 ttl=64 time=251 ms
64 bytes from 10.0.0.8: icmp_seq=128 ttl=64 time=292 ms
64 bytes from 10.0.0.8: icmp_seq=129 ttl=64 time=295 ms
64 bytes from 10.0.0.8: icmp_seq=130 ttl=64 time=236 ms
64 bytes from 10.0.0.8: icmp_seq=131 ttl=64 time=263 ms
64 bytes from 10.0.0.8: icmp_seq=132 ttl=64 time=259 ms
64 bytes from 10.0.0.8: icmp_seq=133 ttl=64 time=272 ms
64 bytes from 10.0.0.8: icmp_seq=134 ttl=64 time=270 ms
64 bytes from 10.0.0.8: icmp_seq=135 ttl=64 time=262 ms
64 bytes from 10.0.0.8: icmp_seq=136 ttl=64 time=282 ms
64 bytes from 10.0.0.8: icmp_seq=137 ttl=64 time=312 ms
64 bytes from 10.0.0.8: icmp_seq=138 ttl=64 time=298 ms
64 bytes from 10.0.0.8: icmp_seq=139 ttl=64 time=310 ms
64 bytes from 10.0.0.8: icmp_seq=140 ttl=64 time=295 ms
64 bytes from 10.0.0.8: icmp_seq=141 ttl=64 time=297 ms
64 bytes from 10.0.0.8: icmp_seq=142 ttl=64 time=335 ms
64 bytes from 10.0.0.8: icmp_seq=143 ttl=64 time=323 ms
64 bytes from 10.0.0.8: icmp_seq=144 ttl=64 time=320 ms
64 bytes from 10.0.0.8: icmp_seq=145 ttl=64 time=268 ms
64 bytes from 10.0.0.8: icmp_seq=146 ttl=64 time=284 ms
64 bytes from 10.0.0.8: icmp_seq=147 ttl=64 time=308 ms
64 bytes from 10.0.0.8: icmp_seq=148 ttl=64 time=293 ms
64 bytes from 10.0.0.8: icmp_seq=149 ttl=64 time=314 ms
64 bytes from 10.0.0.8: icmp_seq=150 ttl=64 time=310 ms
64 bytes from 10.0.0.8: icmp_seq=151 ttl=64 time=283 ms
64 bytes from 10.0.0.8: icmp_seq=152 ttl=64 time=328 ms
64 bytes from 10.0.0.8: icmp_seq=153 ttl=64 time=366 ms
64 bytes from 10.0.0.8: icmp_seq=154 ttl=64 time=409 ms
64 bytes from 10.0.0.8: icmp_seq=155 ttl=64 time=382 ms
64 bytes from 10.0.0.8: icmp_seq=156 ttl=64 time=351 ms
64 bytes from 10.0.0.8: icmp_seq=157 ttl=64 time=358 ms
64 bytes from 10.0.0.8: icmp_seq=158 ttl=64 time=292 ms
64 bytes from 10.0.0.8: icmp_seq=159 ttl=64 time=327 ms
64 bytes from 10.0.0.8: icmp_seq=160 ttl=64 time=328 ms
64 bytes from 10.0.0.8: icmp_seq=161 ttl=64 time=332 ms
64 bytes from 10.0.0.8: icmp_seq=162 ttl=64 time=338 ms
64 bytes from 10.0.0.8: icmp_seq=163 ttl=64 time=376 ms
64 bytes from 10.0.0.8: icmp_seq=164 ttl=64 time=378 ms
64 bytes from 10.0.0.8: icmp_seq=165 ttl=64 time=339 ms
64 bytes from 10.0.0.8: icmp_seq=166 ttl=64 time=300 ms
64 bytes from 10.0.0.8: icmp_seq=167 ttl=64 time=333 ms
64 bytes from 10.0.0.8: icmp_seq=168 ttl=64 time=328 ms
64 bytes from 10.0.0.8: icmp_seq=169 ttl=64 time=340 ms
64 bytes from 10.0.0.8: icmp_seq=170 ttl=64 time=330 ms
64 bytes from 10.0.0.8: icmp_seq=171 ttl=64 time=326 ms
64 bytes from 10.0.0.8: icmp_seq=172 ttl=64 time=313 ms
64 bytes from 10.0.0.8: icmp_seq=174 ttl=64 time=328 ms
64 bytes from 10.0.0.8: icmp_seq=175 ttl=64 time=285 ms
64 bytes from 10.0.0.8: icmp_seq=176 ttl=64 time=214 ms
64 bytes from 10.0.0.8: icmp_seq=177 ttl=64 time=295 ms
64 bytes from 10.0.0.8: icmp_seq=178 ttl=64 time=288 ms
64 bytes from 10.0.0.8: icmp_seq=179 ttl=64 time=226 ms
64 bytes from 10.0.0.8: icmp_seq=180 ttl=64 time=207 ms
64 bytes from 10.0.0.8: icmp_seq=181 ttl=64 time=209 ms
64 bytes from 10.0.0.8: icmp_seq=182 ttl=64 time=215 ms
64 bytes from 10.0.0.8: icmp_seq=183 ttl=64 time=219 ms
64 bytes from 10.0.0.8: icmp_seq=184 ttl=64 time=224 ms
64 bytes from 10.0.0.8: icmp_seq=185 ttl=64 time=221 ms
64 bytes from 10.0.0.8: icmp_seq=186 ttl=64 time=231 ms
64 bytes from 10.0.0.8: icmp_seq=187 ttl=64 time=234 ms
64 bytes from 10.0.0.8: icmp_seq=188 ttl=64 time=235 ms
64 bytes from 10.0.0.8: icmp_seq=189 ttl=64 time=236 ms
64 bytes from 10.0.0.8: icmp_seq=190 ttl=64 time=241 ms
64 bytes from 10.0.0.8: icmp_seq=191 ttl=64 time=250 ms
64 bytes from 10.0.0.8: icmp_seq=192 ttl=64 time=254 ms
64 bytes from 10.0.0.8: icmp_seq=193 ttl=64 time=251 ms
64 bytes from 10.0.0.8: icmp_seq=194 ttl=64 time=256 ms
64 bytes from 10.0.0.8: icmp_seq=195 ttl=64 time=260 ms
64 bytes from 10.0.0.8: icmp_seq=196 ttl=64 time=269 ms
64 bytes from 10.0.0.8: icmp_seq=197 ttl=64 time=272 ms
64 bytes from 10.0.0.8: icmp_seq=198 ttl=64 time=278 ms
64 bytes from 10.0.0.8: icmp_seq=199 ttl=64 time=259 ms
64 bytes from 10.0.0.8: icmp_seq=200 ttl=64 time=251 ms
64 bytes from 10.0.0.8: icmp_seq=201 ttl=64 time=261 ms
64 bytes from 10.0.0.8: icmp_seq=202 ttl=64 time=265 ms
64 bytes from 10.0.0.8: icmp_seq=203 ttl=64 time=268 ms
64 bytes from 10.0.0.8: icmp_seq=204 ttl=64 time=273 ms
64 bytes from 10.0.0.8: icmp_seq=205 ttl=64 time=276 ms
64 bytes from 10.0.0.8: icmp_seq=206 ttl=64 time=279 ms
64 bytes from 10.0.0.8: icmp_seq=207 ttl=64 time=280 ms
64 bytes from 10.0.0.8: icmp_seq=208 ttl=64 time=271 ms
64 bytes from 10.0.0.8: icmp_seq=209 ttl=64 time=280 ms
64 bytes from 10.0.0.8: icmp_seq=210 ttl=64 time=285 ms
64 bytes from 10.0.0.8: icmp_seq=211 ttl=64 time=272 ms
64 bytes from 10.0.0.8: icmp_seq=212 ttl=64 time=291 ms
64 bytes from 10.0.0.8: icmp_seq=213 ttl=64 time=282 ms
64 bytes from 10.0.0.8: icmp_seq=214 ttl=64 time=286 ms
64 bytes from 10.0.0.8: icmp_seq=215 ttl=64 time=288 ms
64 bytes from 10.0.0.8: icmp_seq=216 ttl=64 time=299 ms
64 bytes from 10.0.0.8: icmp_seq=217 ttl=64 time=293 ms
64 bytes from 10.0.0.8: icmp_seq=218 ttl=64 time=288 ms
64 bytes from 10.0.0.8: icmp_seq=219 ttl=64 time=299 ms
64 bytes from 10.0.0.8: icmp_seq=220 ttl=64 time=289 ms
64 bytes from 10.0.0.8: icmp_seq=222 ttl=64 time=272 ms
64 bytes from 10.0.0.8: icmp_seq=223 ttl=64 time=273 ms
64 bytes from 10.0.0.8: icmp_seq=224 ttl=64 time=271 ms
64 bytes from 10.0.0.8: icmp_seq=225 ttl=64 time=302 ms
64 bytes from 10.0.0.8: icmp_seq=226 ttl=64 time=284 ms
64 bytes from 10.0.0.8: icmp_seq=227 ttl=64 time=237 ms
64 bytes from 10.0.0.8: icmp_seq=228 ttl=64 time=213 ms
64 bytes from 10.0.0.8: icmp_seq=229 ttl=64 time=194 ms
64 bytes from 10.0.0.8: icmp_seq=230 ttl=64 time=202 ms
64 bytes from 10.0.0.8: icmp_seq=231 ttl=64 time=193 ms
64 bytes from 10.0.0.8: icmp_seq=232 ttl=64 time=237 ms
64 bytes from 10.0.0.8: icmp_seq=233 ttl=64 time=245 ms
64 bytes from 10.0.0.8: icmp_seq=234 ttl=64 time=203 ms
64 bytes from 10.0.0.8: icmp_seq=235 ttl=64 time=205 ms
64 bytes from 10.0.0.8: icmp_seq=236 ttl=64 time=217 ms
64 bytes from 10.0.0.8: icmp_seq=237 ttl=64 time=218 ms
64 bytes from 10.0.0.8: icmp_seq=238 ttl=64 time=229 ms
64 bytes from 10.0.0.8: icmp_seq=239 ttl=64 time=228 ms
64 bytes from 10.0.0.8: icmp_seq=240 ttl=64 time=227 ms
64 bytes from 10.0.0.8: icmp_seq=241 ttl=64 time=234 ms
64 bytes from 10.0.0.8: icmp_seq=242 ttl=64 time=236 ms
64 bytes from 10.0.0.8: icmp_seq=243 ttl=64 time=246 ms
64 bytes from 10.0.0.8: icmp_seq=244 ttl=64 time=238 ms
64 bytes from 10.0.0.8: icmp_seq=245 ttl=64 time=238 ms
64 bytes from 10.0.0.8: icmp_seq=246 ttl=64 time=250 ms
64 bytes from 10.0.0.8: icmp_seq=247 ttl=64 time=240 ms
64 bytes from 10.0.0.8: icmp_seq=248 ttl=64 time=247 ms
64 bytes from 10.0.0.8: icmp_seq=249 ttl=64 time=252 ms
64 bytes from 10.0.0.8: icmp_seq=250 ttl=64 time=268 ms
64 bytes from 10.0.0.8: icmp_seq=251 ttl=64 time=269 ms
64 bytes from 10.0.0.8: icmp_seq=252 ttl=64 time=256 ms
64 bytes from 10.0.0.8: icmp_seq=253 ttl=64 time=261 ms
64 bytes from 10.0.0.8: icmp_seq=254 ttl=64 time=262 ms
64 bytes from 10.0.0.8: icmp_seq=255 ttl=64 time=268 ms
64 bytes from 10.0.0.8: icmp_seq=256 ttl=64 time=260 ms
64 bytes from 10.0.0.8: icmp_seq=257 ttl=64 time=273 ms
64 bytes from 10.0.0.8: icmp_seq=262 ttl=64 time=2.91 ms
64 bytes from 10.0.0.8: icmp_seq=263 ttl=64 time=75.2 ms
64 bytes from 10.0.0.8: icmp_seq=264 ttl=64 time=132 ms
64 bytes from 10.0.0.8: icmp_seq=265 ttl=64 time=104 ms
64 bytes from 10.0.0.8: icmp_seq=266 ttl=64 time=186 ms
64 bytes from 10.0.0.8: icmp_seq=267 ttl=64 time=215 ms
64 bytes from 10.0.0.8: icmp_seq=268 ttl=64 time=207 ms
64 bytes from 10.0.0.8: icmp_seq=269 ttl=64 time=154 ms
