PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=552 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=605 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=621 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=579 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=611 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=624 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=681 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=641 ms
